name,GW,total_points,minutes,goals_scored,assists,bonus,bps,clean_sheets,creativity,influence,threat,ict_index,form,value,was_home,yellow_cards,red_cards,upcoming_total_points,position_FWD,position_GK,position_MID,team_x_Aston Villa,team_x_Bournemouth,team_x_Brentford,team_x_Brighton,team_x_Burnley,team_x_Chelsea,team_x_Crystal Palace,team_x_Everton,team_x_Fulham,team_x_Leeds,team_x_Leicester,team_x_Liverpool,team_x_Man City,team_x_Man Utd,team_x_Newcastle,team_x_Norwich,team_x_Nott'm Forest,team_x_Sheffield Utd,team_x_Southampton,team_x_Spurs,team_x_Watford,team_x_West Brom,team_x_West Ham,team_x_Wolves
Aaron Cresswell,6,1,90,0,0,0,5,0,14.3,11.4,2.0,2.8,0.425,50,1,0,0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,7,6,90,0,0,0,27,1,33.8,22.8,0.0,5.7,0.55,50,1,0,0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,8,2,90,0,0,0,8,0,1.3,6.4,0.0,0.8,0.45,50,0,0,0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,9,7,90,0,0,1,29,1,20.5,19.4,0.0,4.0,0.4,51,0,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,10,1,90,0,0,0,12,0,7.9,5.4,0.0,1.3,0.175,53,0,0,0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,11,2,90,0,0,0,13,0,1.9,14.4,4.0,2.0,0.225,53,1,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,12,1,90,0,0,0,13,0,2.8,8.4,2.0,1.3,0.1,53,0,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,13,1,90,0,0,0,7,0,1.7,10.0,6.0,1.8,0.125,53,0,1,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,14,0,90,0,0,0,8,0,1.9,4.4,6.0,1.2,0.075,50,0,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,15,1,90,0,0,0,12,0,5.7,26.6,1.0,3.3,0.075,53,0,0,0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,16,6,90,0,0,0,17,1,7.2,8.2,18.0,3.3,0.2,53,1,0,0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,17,7,90,0,0,1,27,1,1.8,7.2,8.0,1.7,0.35,53,1,0,0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,18,2,90,0,0,0,12,0,11.7,20.6,0.0,3.2,0.4,53,0,0,0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,19,2,90,0,0,0,24,0,57.8,28.2,15.0,10.1,0.425,53,0,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,20,1,90,0,0,0,10,0,1.9,5.8,0.0,0.8,0.3,53,1,0,0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,21,6,90,0,0,0,20,1,12.0,5.4,0.0,1.7,0.275,53,1,0,0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,22,2,90,0,0,0,17,0,26.8,15.6,6.0,4.8,0.275,53,0,0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,23,0,90,0,0,0,4,0,5.0,2.2,4.0,1.1,0.225,53,1,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,24,1,90,0,0,0,5,0,6.1,15.4,17.0,3.9,0.225,53,0,1,0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,25,2,90,0,0,0,6,0,1.8,8.0,50.0,6.0,0.125,51,1,0,0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,26,2,90,0,0,0,10,0,15.5,10.2,3.0,2.9,0.1,52,0,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,27,1,90,0,0,0,16,0,3.8,18.8,18.0,4.1,0.125,52,1,0,0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,28,1,90,0,0,0,13,0,11.5,9.4,2.0,2.3,0.125,52,0,0,0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,29,3,90,0,1,0,27,0,15.7,35.8,0.0,5.2,0.35,51,0,0,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,30,0,90,0,0,0,7,0,21.9,13.8,36.0,7.2,0.35,51,1,1,0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aaron Cresswell,31,9,90,1,0,2,20,0,3.3,36.2,8.0,4.8,0.325,54,1,1,0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
